TIME_MS,CURRENT_MA,PROTOCOL,CPU_FREQ_MHZ
0,30.00,IDLE,40
400,32.50,SENSOR,40
800,30.20,IDLE,40
1200,32.80,SENSOR,40
1600,30.50,IDLE,40
2000,31.00,IDLE,40
2400,33.10,SENSOR,40
2800,30.40,IDLE,40
3000,31.50,LCD,40
3400,32.90,SENSOR,40
3600,30.20,IDLE,40
4000,31.00,IDLE,40
4400,33.20,SENSOR,40
4800,30.60,IDLE,40
5000,262.50,WIFI,240
5100,264.20,WIFI,240
5200,261.80,WIFI,240
5280,31.00,IDLE,40
5600,33.10,SENSOR,40
6000,30.50,IDLE,40
6400,32.80,SENSOR,40
6800,30.00,IDLE,40
7200,33.00,SENSOR,40
7600,30.40,IDLE,40
8000,30.80,IDLE,40
8400,32.90,SENSOR,40
8500,31.00,LCD,40
9000,30.20,IDLE,40
9400,33.10,SENSOR,40
9800,30.50,IDLE,40
10000,263.80,WIFI,240
10100,265.10,WIFI,240
10200,262.70,WIFI,240
10270,30.80,IDLE,40
10600,33.00,SENSOR,40
11000,30.40,IDLE,40
11200,109.60,BLE,80
11400,111.20,BLE,80
11440,30.50,IDLE,40
11800,32.80,SENSOR,40
12000,30.20,IDLE,40
12400,33.50,SENSOR,40
12800,30.00,IDLE,40
13000,31.00,LCD,40
13200,30.80,IDLE,40
13600,33.20,SENSOR,40
14000,30.40,IDLE,40
14400,32.90,SENSOR,40
14800,30.20,IDLE,40
15000,264.00,WIFI,240
15100,265.50,WIFI,240
15200,262.30,WIFI,240
15260,31.00,IDLE,40
15600,33.10,SENSOR,40
16000,30.50,IDLE,40
16400,32.80,SENSOR,40
16800,30.00,IDLE,40
17000,30.20,IDLE,40
17200,110.40,BLE,80
17420,110.80,BLE,80
17450,30.60,IDLE,40
17800,33.00,SENSOR,40
18000,31.50,LCD,40
18400,32.70,SENSOR,40
18800,30.40,IDLE,40
19200,33.10,SENSOR,40
19600,30.20,IDLE,40
20000,263.50,WIFI,240
20100,264.80,WIFI,240
20200,261.90,WIFI,240
20250,30.80,IDLE,40
20600,33.00,SENSOR,40
21000,30.50,IDLE,40
21400,32.80,SENSOR,40
21800,30.20,IDLE,40
22000,30.40,IDLE,40
22200,109.90,BLE,80
22420,111.00,BLE,80
22440,31.00,IDLE,40
22800,32.90,SENSOR,40
23000,31.20,LCD,40
23400,33.10,SENSOR,40
23800,30.00,IDLE,40
24200,32.80,SENSOR,40
24600,30.40,IDLE,40
25000,264.20,WIFI,240
25100,265.00,WIFI,240
25200,262.60,WIFI,240
25240,30.60,IDLE,40
25600,33.20,SENSOR,40
26000,30.20,IDLE,40
26400,32.90,SENSOR,40
26800,30.50,IDLE,40
27000,30.00,IDLE,40
27200,110.20,BLE,80
27420,111.40,BLE,80
27450,31.20,IDLE,40
27800,33.00,SENSOR,40
28000,31.00,LCD,40
28400,32.70,SENSOR,40
28800,30.40,IDLE,40
29200,33.10,SENSOR,40
29600,30.20,IDLE,40
30000,264.60,WIFI,240
